ply,eval,move
0,0,
1,5,9六歩
2,0,7四歩
3,5,1六歩
4,17,4四歩
5,5,4六歩
6,0,1四歩
7,-12,6六歩
8,-17,9四歩
9,-12,3六歩
10,-22,3四歩
11,139,2六歩
12,151,5四歩
13,177,9七角
14,-198,3三角
15,310,8六角
16,279,4二銀
17,298,4八銀
18,339,3二金
19,347,2五歩
20,335,4五歩
21,348,2四歩
22,-180,2四角
23,327,2五飛
24,317,3三桂
25,4675,2四飛
26,-206,2四歩
27,445,2一角
28,670,2二飛
29,2685,3二角成
30,-1476,3二飛
31,-1540,2三金
32,-1543,3一飛
33,-1546,2二金
34,-1563,4一飛
35,-1544,3二金
36,-2212,6七角
37,2129,4一金
38,-361,4一玉
39,225,2一飛
40,276,3一金
41,917,1一飛成
42,40,8九角成
43,41,9七香
44,142,6七桂
45,85,6八玉
46,-2596,7九桂成
47,-596,7九金
48,-555,9八馬
49,-599,5三桂
50,-2094,5三銀
51,-124,5三角成
52,-77,4二桂
53,156,4五歩
54,-124,8七馬
55,168,2六歩
56,-66,4五桂
57,69,1四竜
58,65,6二銀
59,56,4三馬
60,10,5二金
61,-6,4四馬
62,-785,5七桂成
63,1276,5七銀
64,41,9七馬
65,-13,3三桂
66,-20,5一玉
67,217,2四竜
68,270,6七銀
69,2381,6七玉
70,-276,7九馬
71,214,2一桂成
72,177,4一金
73,297,5六歩
74,212,8四歩
75,438,2五歩
76,199,8五歩
77,235,5八金
78,26,8六歩
79,37,4三歩
80,-578,8七歩成
81,2056,4二歩成
82,473,4二金
83,709,3四竜
84,659,7八馬
85,560,7六玉
86,632,7五金
